Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
DOUJA PROM ADDOHA,30.28,39.25,0.2962,876130905.07,25962488.0,60.0,20240930
ENNAKL,35.2,34.0,-0.0341,22345551.16,651600.0,60.0,20240930
EQDOM,1058.0,1080.0,0.0208,17042496.0,15452.0,39.0,20240930
FENIE BROSSETTE,98.1,107.0,0.0907,12433447.47,110411.0,58.0,20240930
HPS,520.0,546.1,0.050199999999999995,425701765.95,790309.0,60.0,20240930
IB MAROC.COM,33.4,38.5,0.1527,1016016.18,28298.0,51.0,20240930
INVOLYS,84.02,101.95,0.2134,2664340.83,25880.0,52.0,20240930
ITISSALAT AL-MAGHRIB,90.5,94.0,0.0387,615811468.53,6673506.0,60.0,20240930
JET CONTRACTORS,575.0,980.0,0.7043,184713344.9,251489.0,60.0,20240930
LABEL VIE,4390.0,4480.0,0.020499999999999997,432039830.0,98284.0,53.0,20240930
LafargeHolcim Maroc,1900.0,1880.0,-0.0105,251771518.0,131614.0,58.0,20240930
LESIEUR CRISTAL,300.0,290.0,-0.0333,5487006.3,20237.0,45.0,20240930
M2M Group,452.1,549.0,0.2143,2321485.6,4993.0,43.0,20240930
MAGHREBAIL,972.0,925.0,-0.0484,548164.0,574.0,18.0,20240930
MAGHREB OXYGENE,204.0,220.0,0.0784,310152.25,1399.0,33.0,20240930
MANAGEM,2500.0,2758.0,0.1032,134161285.0,48669.0,59.0,20240930
MAROC LEASING,414.45,370.0,-0.1073,336527.1,886.0,14.0,20240930
MED PAPER,18.98,21.29,0.1217,19136925.31,846321.0,60.0,20240930
MICRODATA,649.5,658.0,0.0131,10787521.1,16781.0,49.0,20240930
MINIERE TOUISSIT,1290.0,1621.0,0.2566,185668736.0,117950.0,59.0,20240930
MUTANDIS SCA,264.75,299.0,0.1294,170989798.65,611656.0,60.0,20240930
OULMES,1336.0,1315.0,-0.015700000000000002,143455.0,108.0,14.0,20240930
PROMOPHARM S.A.,934.0,1150.0,0.23129999999999998,1502112.0,1423.0,25.0,20240930
REALISATIONS MECANIQUES,107.5,462.7,3.3042000000000002,21185980.15,44741.0,56.0,20240930
REBAB COMPANY,70.85,104.45,0.4742,383717.93,4420.0,35.0,20240930
RESIDENCES DAR SAADA,79.05,75.78,-0.0414,382280332.13,4850959.0,60.0,20240930
RISMA,240.0,219.8,-0.0842,22196940.25,94538.0,60.0,20240930
SALAFIN,531.0,575.0,0.08289999999999999,4926585.0,8871.0,40.0,20240930
SAMIR,127.8,127.8,0.0,0.0,0.0,0.0,20240930
SANLAM MAROC,1950.0,1968.0,0.0092,8791146.0,4515.0,36.0,20240930
SMI,2350.0,2299.0,-0.0217,38642676.0,16986.0,53.0,20240930
S.M MONETIQUE,176.95,230.35,0.3018,5474731.75,24701.0,44.0,20240930
SNEP,509.9,476.0,-0.0665,33889272.45,68490.0,60.0,20240930
SOCIETE DES BOISSONS DU M,2449.0,2567.0,0.0482,30745454.0,12348.0,46.0,20240930
SODEP-Marsa Maroc,312.0,472.0,0.5128,663341443.7,1790303.0,60.0,20240930
SONASID,833.0,850.0,0.0204,173673140.2,201566.0,60.0,20240930
SOTHEMA,1000.0,960.0,-0.04,35781189.2,36124.0,49.0,20240930
STOKVIS NORD AFRIQUE,10.99,15.84,0.4413,6242802.77,408884.0,60.0,20240930
STROC INDUSTRIE,34.0,60.79,0.7879,12039310.13,222784.0,60.0,20240930
TAQA MOROCCO,1300.0,1450.0,0.11539999999999999,323404343.0,244447.0,58.0,20240930
TGCC S.A,310.0,424.0,0.3677,483582227.1,1336078.0,60.0,20240930
TOTALENERGIES MARKETING,1379.0,1740.0,0.2618,59266664.0,39986.0,45.0,20240930
UNIMER,177.0,174.9,-0.011899999999999999,86563.6,492.0,8.0,20240930
WAFA ASSURANCE,3900.0,4500.0,0.15380000000000002,90363867.0,21421.0,45.0,20240930
ZELLIDJA S.A,75.36,147.95,0.9632,370191.02,2790.0,40.0,20240930
